Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BA2032SM,1,BA2032SM,BA2032SM
C1,0805,1,10u,C0805C106K8PAC7800
"C2, C3, C5, C7",0805,4,100n,C0805C104K5RAC7210
C4,0805,1,1u,C0805C105K4RAC7800
C6,0805,1,10n,C0805C103K1RAC7800
DS1,LCD-A2X1C50TR,1,LCD-A2X1C50TR,LCD-A2X1C50TR
J1,SAMTEC_FTSH-105-X-X-DV-007-P-X,1,FTSH-105-01-L-DV-007-K,FTSH-105-01-L-DV-007-K
SW1,SW_SPST_Omron_B3FS-101xP,1,B3FS-1015,B3FS-1015
U1,LQFP-32_7x7mm_P0.8mm,1,STM32L010K4T6,STM32L010K4T6
XO1,OSC_ECS-327KE-TR_HandSolder,1,ECS-327KE-TR,ECS-327KE-TR
